Timestamp_ms,CPU_Usage,Memory_MB
1739980142147,194.8,95.0
1739980142153,0.0,95.0
1739980142158,196.5,95.0
1739980142163,0.0,95.0
1739980142168,194.5,95.0
1739980142174,0.0,95.0
1739980142179,194.3,95.0
1739980142185,0.0,95.0
1739980142191,0.0,95.0
1739980142196,195.8,97.55
1739980142202,0.0,98.39
1739980142207,195.7,98.39
1739980142213,0.0,98.39
1739980142218,196.3,101.02
1739980142224,0.0,104.27
1739980142229,0.0,107.39
1739980142234,394.1,110.39
1739980142239,0.0,113.27
1739980142245,197.0,116.27
1739980142250,0.0,119.39
1739980142255,0.0,122.39
1739980142260,195.7,125.39
1739980142266,194.8,128.52
1739980142271,195.4,131.52
1739980142276,0.0,134.89
1739980142282,0.0,142.14
1739980142287,197.0,149.27
1739980142292,0.0,156.52
1739980142297,0.0,163.89
1739980142303,0.0,171.14
1739980142308,0.0,178.77
1739980142314,193.1,186.77
1739980142319,193.5,194.64
1739980142325,194.9,202.14
1739980142330,0.0,209.64
1739980142336,196.4,217.02
1739980142341,0.0,224.77
1739980142347,195.0,232.52
1739980142352,0.0,240.14
1739980142358,196.5,247.77
1739980142363,0.0,255.14
1739980142368,0.0,262.89
1739980142374,0.0,270.89
1739980142380,0.0,278.64
1739980142385,197.0,285.89
1739980142390,0.0,293.14
1739980142395,197.1,300.39
1739980142401,0.0,307.52
1739980142406,197.0,314.89
1739980142411,0.0,322.14
1739980142416,0.0,329.39
1739980142421,196.8,336.77
1739980142427,196.9,344.02
1739980142432,196.9,351.27
1739980142437,0.0,358.64
1739980142442,0.0,366.02
1739980142448,193.2,373.77
1739980142453,193.6,381.89
1739980142459,0.0,389.89
1739980142465,193.9,397.77
1739980142470,0.0,405.77
1739980142476,0.0,413.52
1739980142482,195.0,421.27
1739980142487,193.5,429.27
1739980142493,0.0,437.27
1739980142499,0.0,445.02
1739980142504,0.0,452.52
1739980142509,194.0,460.39
1739980142515,0.0,468.02
1739980142520,196.9,475.39
1739980142526,0.0,483.27
1739980142531,386.6,491.27
1739980142537,0.0,499.02
1739980142542,0.0,506.39
1739980142548,0.0,514.02
1739980142553,0.0,521.89
1739980142559,195.1,529.64
1739980142564,0.0,537.02
1739980142570,194.5,544.77
1739980142575,193.5,552.77
1739980142581,0.0,560.77
1739980142587,193.5,568.89
1739980142592,0.0,577.02
1739980142598,193.4,585.02
1739980142604,0.0,593.02
1739980142609,193.5,601.02
1739980142615,0.0,609.02
1739980142621,192.5,617.14
1739980142627,0.0,625.14
1739980142632,193.5,633.14
1739980142638,0.0,641.27
1739980142644,0.0,647.52
1739980142650,194.9,650.64
1739980142655,193.8,653.89
1739980142661,0.0,657.02
1739980142666,195.0,660.14
1739980142672,0.0,663.39
1739980142678,0.0,666.39
1739980142683,195.1,669.39
1739980142689,193.5,672.64
1739980142694,194.6,675.64
1739980142700,0.0,678.77
1739980142706,193.0,681.89
1739980142711,0.0,685.14
1739980142717,196.2,688.14
1739980142722,0.0,691.02
1739980142727,195.8,694.02
1739980142733,194.5,697.14
1739980142739,0.0,700.14
1739980142744,194.7,703.27
1739980142750,0.0,706.39
1739980142755,0.0,709.52
1739980142761,195.3,712.52
1739980142766,0.0,715.52
1739980142772,196.8,718.39
1739980142777,0.0,721.27
1739980142782,196.9,724.27
1739980142787,0.0,727.02
1739980142792,393.9,729.89
1739980142798,0.0,732.77
1739980142803,197.0,735.64
1739980142808,0.0,738.52
1739980142813,0.0,741.39
1739980142818,196.8,744.27
1739980142824,0.0,747.14
1739980142829,194.7,750.27
1739980142834,195.3,753.27
1739980142840,0.0,756.14
1739980142845,0.0,759.14
1739980142850,194.6,762.27
1739980142856,0.0,765.52
1739980142862,386.8,768.52
1739980142867,0.0,771.64
1739980142873,0.0,774.89
1739980142879,0.0,684.33
1739980142884,392.9,684.45
1739980142890,0.0,684.45
1739980142895,0.0,684.45
1739980142900,0.0,684.45
1739980142905,0.0,684.45
1739980142910,0.0,684.45
1739980142916,0.0,684.45
1739980142921,0.0,684.45
1739980142927,0.0,684.45
1739980142932,0.0,684.45
1739980142938,0.0,684.45
1739980142943,0.0,684.45
1739980142949,0.0,684.45
1739980142955,0.0,684.45
1739980142960,0.0,684.45
1739980142965,0.0,684.45
1739980142971,0.0,684.45
1739980142976,0.0,684.45
1739980142981,0.0,684.45
1739980142986,0.0,684.58
1739980142992,196.3,684.58
1739980142997,0.0,684.58
1739980143002,196.8,684.58
1739980143008,196.0,684.58
1739980143013,196.9,684.58
1739980143018,0.0,684.58
1739980143024,0.0,684.58
1739980143029,0.0,684.58
1739980143034,0.0,684.58
1739980143040,0.0,684.58
1739980143046,0.0,684.58
1739980143051,0.0,684.58
1739980143057,0.0,684.58
1739980143063,0.0,684.58
1739980143069,0.0,684.58
1739980143074,0.0,684.58
1739980143080,0.0,684.58
1739980143085,0.0,684.58
1739980143091,0.0,684.58
1739980143097,0.0,684.58
1739980143102,0.0,684.58
1739980143108,0.0,684.58
1739980143113,0.0,684.58
1739980143118,0.0,684.58
1739980143124,0.0,684.58
1739980143129,0.0,684.58
1739980143134,0.0,684.58
1739980143139,0.0,684.58
1739980143144,0.0,684.58
1739980143150,0.0,684.58
1739980143155,0.0,684.58
1739980143160,0.0,684.58
1739980143165,0.0,684.58
1739980143170,0.0,684.58
1739980143175,0.0,684.58
1739980143181,0.0,684.58
1739980143186,0.0,684.58
1739980143191,0.0,684.58
1739980143196,0.0,684.58
1739980143201,0.0,684.58
1739980143207,0.0,684.58
1739980143212,0.0,684.58
1739980143217,0.0,684.58
1739980143222,0.0,684.58
1739980143228,0.0,684.58
1739980143233,0.0,684.58
1739980143239,0.0,684.58
1739980143245,0.0,684.58
1739980143250,0.0,684.58
1739980143256,0.0,684.58
1739980143262,0.0,684.58
1739980143267,0.0,684.58
1739980143272,0.0,684.58
1739980143278,0.0,684.58
1739980143284,0.0,684.58
1739980143289,0.0,684.58
1739980143295,0.0,684.58
1739980143301,0.0,684.58
1739980143306,0.0,684.58
1739980143312,0.0,684.58
1739980143317,0.0,684.58
1739980143323,0.0,684.58
1739980143328,0.0,684.58
1739980143334,0.0,684.58
1739980143340,0.0,684.58
1739980143345,0.0,684.58
1739980143350,0.0,684.58
1739980143355,0.0,684.58
1739980143361,0.0,684.58
1739980143366,0.0,684.58
1739980143372,0.0,684.58
1739980143378,0.0,684.58
1739980143383,0.0,684.58
1739980143389,0.0,684.58
1739980143395,0.0,684.58
1739980143400,0.0,684.58
1739980143406,0.0,684.58
1739980143412,0.0,684.58
1739980143418,0.0,684.58
1739980143423,0.0,684.58
1739980143429,0.0,684.58
1739980143434,0.0,684.58
1739980143439,0.0,684.58
1739980143444,0.0,684.58
1739980143449,0.0,684.58
1739980143455,0.0,684.58
1739980143460,0.0,684.58
1739980143466,0.0,684.58
1739980143471,0.0,684.58
1739980143476,0.0,684.58
1739980143482,0.0,684.58
1739980143487,0.0,684.58
1739980143493,0.0,684.58
1739980143499,0.0,684.58
1739980143504,0.0,684.58
1739980143510,0.0,684.58
1739980143516,0.0,684.58
1739980143521,0.0,684.58
1739980143527,0.0,684.58
1739980143533,0.0,684.58
1739980143538,0.0,684.58
1739980143544,0.0,684.58
1739980143550,0.0,684.58
1739980143556,0.0,684.58
1739980143561,0.0,684.58
1739980143567,0.0,684.58
1739980143572,0.0,684.58
1739980143578,0.0,684.58
1739980143583,0.0,684.58
1739980143588,0.0,684.58
1739980143593,0.0,684.58
1739980143598,0.0,684.58
1739980143604,0.0,684.58
1739980143609,0.0,684.58
1739980143614,0.0,684.58
1739980143619,0.0,684.58
1739980143625,0.0,684.58
1739980143630,0.0,684.58
1739980143636,0.0,684.58
1739980143641,0.0,684.58
1739980143647,0.0,684.58
1739980143652,0.0,684.58
1739980143658,0.0,684.58
1739980143664,0.0,684.58
1739980143669,0.0,684.58
1739980143675,0.0,684.58
1739980143681,0.0,684.58
1739980143686,0.0,684.58
1739980143692,0.0,684.58
1739980143697,0.0,684.58
1739980143703,0.0,684.58
1739980143708,0.0,684.58
1739980143713,0.0,684.58
1739980143719,0.0,684.58
1739980143724,0.0,684.58
1739980143730,0.0,684.58
1739980143735,0.0,684.58
1739980143741,0.0,684.58
1739980143747,0.0,684.58
1739980143752,0.0,684.58
1739980143758,0.0,684.58
1739980143763,0.0,684.58
1739980143768,0.0,684.58
1739980143773,0.0,684.58
1739980143778,0.0,684.58
1739980143783,0.0,684.58
1739980143788,0.0,684.58
1739980143794,0.0,684.58
1739980143799,0.0,684.58
1739980143804,0.0,684.58
1739980143809,0.0,684.58
1739980143814,0.0,684.58
1739980143819,0.0,684.58
1739980143825,0.0,684.58
1739980143830,0.0,684.58
1739980143835,0.0,684.58
1739980143840,0.0,684.58
1739980143845,0.0,684.58
1739980143850,0.0,684.58
1739980143856,0.0,684.58
1739980143861,0.0,684.58
1739980143866,0.0,684.58
1739980143872,0.0,684.58
1739980143877,0.0,684.58
1739980143882,0.0,684.58
1739980143888,0.0,684.58
1739980143893,0.0,684.58
1739980143899,0.0,684.58
1739980143905,0.0,684.58
1739980143910,0.0,684.58
1739980143916,0.0,684.58
1739980143922,0.0,684.58
1739980143927,0.0,684.58
1739980143933,0.0,684.58
1739980143939,0.0,684.58
1739980143944,0.0,684.58
1739980143950,0.0,684.58
1739980143956,0.0,684.58
1739980143961,0.0,684.58
1739980143967,0.0,684.58
1739980143973,0.0,684.58
1739980143978,0.0,684.58
1739980143984,0.0,684.58
1739980143989,0.0,684.58
1739980143995,0.0,684.58
1739980144000,0.0,684.58
1739980144006,0.0,684.58
1739980144011,0.0,684.58
1739980144017,0.0,684.58
1739980144022,0.0,684.58
1739980144028,0.0,684.58
1739980144033,0.0,684.58
1739980144039,0.0,684.58
1739980144044,0.0,684.58
1739980144050,0.0,684.58
1739980144055,0.0,684.58
1739980144061,0.0,684.58
1739980144067,0.0,684.58
1739980144072,0.0,684.58
1739980144078,0.0,684.58
1739980144083,0.0,684.58
1739980144089,0.0,684.58
1739980144095,0.0,684.58
1739980144100,0.0,684.58
1739980144106,0.0,684.58
1739980144111,0.0,684.58
1739980144116,0.0,684.58
1739980144121,0.0,684.58
1739980144126,0.0,684.58
1739980144131,0.0,684.58
1739980144137,0.0,684.58
1739980144143,0.0,684.58
1739980144148,0.0,684.58
1739980144154,0.0,684.58
1739980144159,0.0,684.58
1739980144164,0.0,684.58
1739980144169,0.0,684.58
1739980144175,0.0,684.58
1739980144180,0.0,684.58
1739980144185,0.0,684.58
1739980144191,0.0,684.58
1739980144196,0.0,684.58
1739980144201,0.0,684.58
1739980144207,0.0,684.58
1739980144212,0.0,684.58
1739980144218,0.0,684.58
1739980144223,0.0,684.58
1739980144228,0.0,684.58
1739980144233,0.0,684.58
1739980144238,0.0,684.58
1739980144244,0.0,684.58
1739980144250,0.0,684.58
1739980144255,0.0,684.58
1739980144261,0.0,684.58
1739980144266,0.0,684.58
1739980144272,0.0,684.58
1739980144277,0.0,684.58
1739980144283,0.0,684.58
1739980144288,0.0,684.58
1739980144293,0.0,684.58
1739980144299,0.0,684.58
1739980144304,0.0,684.58
1739980144310,0.0,684.58
1739980144316,0.0,684.58
1739980144321,0.0,684.58
1739980144327,0.0,684.58
1739980144332,0.0,684.58
1739980144337,0.0,684.58
1739980144343,0.0,684.58
1739980144349,0.0,684.58
1739980144354,0.0,684.58
1739980144360,0.0,684.58
1739980144365,0.0,684.58
1739980144371,0.0,684.58
1739980144377,0.0,684.58
1739980144382,0.0,684.58
1739980144388,0.0,684.58
1739980144393,0.0,684.58
1739980144398,0.0,684.58
1739980144404,0.0,684.58
1739980144410,0.0,684.58
1739980144415,0.0,684.58
1739980144421,0.0,684.58
1739980144426,0.0,684.58
1739980144432,0.0,684.58
1739980144437,0.0,684.58
1739980144443,0.0,684.58
1739980144448,0.0,684.58
1739980144454,0.0,684.58
1739980144459,0.0,684.58
1739980144465,0.0,684.58
1739980144471,0.0,684.58
1739980144476,0.0,684.58
1739980144482,0.0,684.58
1739980144487,0.0,684.58
1739980144493,0.0,684.58
1739980144498,0.0,684.58
1739980144504,0.0,684.58
1739980144509,0.0,684.58
1739980144515,0.0,684.58
1739980144521,0.0,684.58
1739980144526,0.0,684.58
1739980144532,0.0,684.58
1739980144537,0.0,684.58
1739980144542,0.0,684.58
1739980144548,0.0,684.58
1739980144553,0.0,684.58
1739980144558,0.0,684.58
1739980144563,0.0,684.58
1739980144569,0.0,684.58
1739980144574,0.0,684.58
1739980144579,0.0,684.58
1739980144585,0.0,684.58
1739980144590,0.0,684.58
1739980144596,0.0,684.58
1739980144601,0.0,684.58
1739980144607,0.0,684.58
1739980144613,0.0,684.58
1739980144618,0.0,684.58
1739980144624,0.0,684.58
1739980144630,0.0,684.58
1739980144635,0.0,684.58
1739980144640,0.0,684.58
1739980144646,0.0,684.58
1739980144652,0.0,684.58
1739980144657,0.0,684.58
1739980144663,0.0,684.58
1739980144669,0.0,684.58
1739980144675,0.0,684.58
1739980144680,0.0,684.58
1739980144686,0.0,684.58
1739980144692,0.0,684.58
1739980144697,0.0,684.58
1739980144702,0.0,684.58
1739980144707,0.0,684.58
1739980144712,0.0,684.58
1739980144718,0.0,684.58
1739980144724,0.0,684.58
1739980144730,0.0,684.58
1739980144735,0.0,684.58
1739980144741,0.0,684.58
1739980144746,0.0,684.58
1739980144752,0.0,684.58
1739980144757,0.0,684.58
1739980144763,0.0,684.58
1739980144768,0.0,684.58
1739980144773,0.0,684.58
1739980144778,0.0,684.58
1739980144783,0.0,684.58
1739980144788,0.0,684.58
1739980144794,0.0,684.58
1739980144799,0.0,684.58
1739980144804,0.0,684.58
1739980144809,0.0,684.58
1739980144814,0.0,684.58
1739980144819,0.0,684.58
1739980144825,0.0,684.58
1739980144830,0.0,684.58
1739980144835,0.0,684.58
1739980144840,0.0,684.58
1739980144845,0.0,684.58
1739980144850,0.0,684.58
1739980144856,0.0,684.58
1739980144861,0.0,684.58
1739980144867,0.0,684.58
1739980144873,0.0,684.58
1739980144878,0.0,684.58
1739980144884,0.0,684.58
1739980144889,0.0,684.58
1739980144895,0.0,684.58
1739980144900,0.0,684.58
1739980144906,0.0,684.58
1739980144911,0.0,684.58
1739980144917,0.0,684.58
1739980144922,0.0,684.58
1739980144928,0.0,684.58
1739980144933,0.0,684.58
1739980144939,0.0,684.58
1739980144944,0.0,684.58
1739980144949,0.0,684.58
1739980144954,0.0,684.58
1739980144960,0.0,684.58
1739980144965,0.0,684.58
1739980144970,0.0,684.58
1739980144975,0.0,684.58
1739980144980,0.0,684.58
1739980144986,0.0,684.58
1739980144991,0.0,684.58
1739980144996,0.0,684.58
1739980145002,0.0,684.58
1739980145007,0.0,684.58
1739980145013,0.0,684.58
1739980145018,0.0,684.58
1739980145024,0.0,684.58
1739980145029,0.0,684.58
1739980145035,0.0,684.58
1739980145041,0.0,684.58
1739980145046,0.0,684.58
1739980145052,0.0,684.58
1739980145057,0.0,684.58
1739980145063,0.0,684.58
1739980145068,0.0,684.58
1739980145073,0.0,684.58
1739980145079,0.0,684.58
1739980145084,0.0,684.58
1739980145090,0.0,684.58
1739980145095,0.0,684.58
1739980145101,0.0,684.58
1739980145106,0.0,684.58
1739980145112,0.0,684.58
1739980145117,0.0,684.58
1739980145123,0.0,684.58
1739980145128,0.0,684.58
1739980145134,0.0,684.58
1739980145139,0.0,684.58
1739980145144,0.0,684.58
1739980145149,0.0,684.58
1739980145155,0.0,684.58
1739980145160,0.0,684.58
1739980145165,0.0,684.58
1739980145171,0.0,684.58
1739980145176,0.0,684.58
1739980145182,0.0,684.58
1739980145187,0.0,684.58
1739980145193,0.0,684.58
1739980145198,0.0,684.58
1739980145204,0.0,684.58
1739980145209,0.0,684.58
1739980145215,0.0,684.58
1739980145220,0.0,684.58
1739980145226,0.0,684.58
1739980145231,0.0,684.58
1739980145236,0.0,684.58
1739980145241,0.0,684.58
1739980145246,0.0,684.58
1739980145252,0.0,684.58
1739980145257,0.0,684.58
1739980145262,0.0,684.58
1739980145268,0.0,684.58
1739980145274,0.0,684.58
1739980145279,0.0,684.58
1739980145284,0.0,684.58
1739980145289,0.0,684.58
1739980145295,0.0,684.58
1739980145300,0.0,684.58
1739980145305,0.0,684.58
1739980145311,0.0,684.58
1739980145316,0.0,684.58
1739980145322,0.0,684.58
1739980145328,0.0,684.58
1739980145333,0.0,684.58
1739980145338,0.0,684.58
1739980145344,0.0,684.58
1739980145349,0.0,684.58
1739980145355,0.0,684.58
1739980145360,0.0,684.58
1739980145366,0.0,684.58
1739980145371,0.0,684.58
1739980145377,0.0,684.58
1739980145383,0.0,684.58
1739980145388,0.0,684.58
1739980145393,0.0,684.58
1739980145399,0.0,684.58
1739980145404,0.0,684.58
1739980145410,0.0,684.58
1739980145416,0.0,684.58
1739980145421,0.0,684.58
1739980145427,0.0,684.58
1739980145432,0.0,684.58
1739980145437,0.0,684.58
1739980145443,0.0,684.58
1739980145449,0.0,684.58
1739980145454,0.0,684.58
1739980145460,0.0,684.58
1739980145465,0.0,684.58
1739980145471,0.0,684.58
1739980145477,0.0,684.58
1739980145482,0.0,684.58
1739980145488,0.0,684.58
1739980145494,195.1,684.58
1739980145499,0.0,684.58
1739980145504,0.0,684.58
1739980145509,0.0,684.58
